Query;Last 28 days Clicks;Previous 28 days Clicks;Last 28 days Impressions;Previous 28 days Impressions;Last 28 days CTR;Previous 28 days CTR;Last 28 days Position;Previous 28 days Position;
amazon en chiffres;7;6;22;26;31.82%;23.08%;2.77;3.19;
stratégie de contenu;6;5;1149;1069;0.52%;0.47%;24.58;34.34;
taux de rebond google analytics;6;3;562;411;1.07%;0.73%;7.03;7.74;
managing stakeholders;6;6;440;290;1.36%;2.07%;8.29;9.82;
bonheur au travail;6;2;309;284;1.94%;0.7%;45.3;46.21;
appelez-nous;6;3;192;131;3.12%;2.29%;2.88;2.85;
difference between objective and strategy;6;7;158;95;3.8%;7.37%;4.39;5.07;
turning data into actionable insights;6;2;156;149;3.85%;1.34%;5.03;6.36;
gestion des parties prenantes;6;6;82;56;7.32%;10.71%;2.85;2.8;
stratégie tactique opérationnel;6;2;62;31;9.68%;6.45%;1.74;1.58;
goals strategy objectives tactics;6;3;50;38;12%;7.89%;1.08;1.13;
website ergonomics;6;5;38;27;15.79%;18.52%;2.34;2.63;
goals objectives strategy tactics;6;3;36;15;16.67%;20%;1;1.2;
mass marketing is dead;6;0;35;0;17.14%;0%;1.37;0;
reputation kpi;6;4;30;39;20%;10.26%;1.17;1.36;
objectifs tactiques;6;1;26;15;23.08%;6.67%;1.96;2;
facebook ad language targeting;6;2;18;15;33.33%;13.33%;3.39;4.27;
facebook mobile;5;5;784;580;0.64%;0.86%;10.91;9.96;
martech;5;3;736;373;0.68%;0.8%;30.6;14.08;
strategies and tactics examples;5;1;266;194;1.88%;0.52%;2.08;1.86;
recherche utilisateur;5;0;144;0;3.47%;0%;6.01;0;
voice search 2020;5;6;129;125;3.88%;4.8%;9.09;9.21;
brief content;5;1;88;64;5.68%;1.56%;3.91;3.44;
difference between objectives and strategies;5;8;85;58;5.88%;13.79%;4.4;5.19;
ergonomics website;5;2;65;25;7.69%;8%;2.02;2.28;
e commerce department;5;1;63;65;7.94%;1.54%;3.32;4.85;
ux sex;5;3;53;79;9.43%;3.8%;1.42;2.49;
content brief example;5;1;53;70;9.43%;1.43%;5.74;5.21;
objective strategy;5;4;45;35;11.11%;11.43%;1.13;1;
amazon en chiffre;5;1;42;31;11.9%;3.23%;7.29;7.65;
strategy objectives tactics;5;3;41;52;12.2%;5.77%;1;1.13;
temps de réponse serveur;5;3;37;34;13.51%;8.82%;1.27;1.09;
objective vs strategy vs tactic;5;0;13;0;38.46%;0%;3.08;0;
 - la technologie nuit-elle à la vie privée?;5;1;13;8;38.46%;12.5%;7.85;8;
enjeux du merchandising;5;1;12;8;41.67%;12.5%;2.75;3;
marketing de contenu;4;1;1333;1192;0.3%;0.08%;27.63;30.49;
ville.montreal.qc.ca/payerconstat;4;2;812;401;0.49%;0.5%;9.81;10.17;
bounce rate;4;0;352;279;1.14%;0%;7.51;6.65;
power editor;4;5;343;260;1.17%;1.92%;7.21;7.97;
inscription youtube;4;1;330;307;1.21%;0.33%;9.15;8.71;
google data studio vs power bi;4;1;207;60;1.93%;1.67%;9.93;10.12;
culture organisationnelle;4;2;140;190;2.86%;1.05%;13.39;12.87;
objectif stratégique;4;2;126;51;3.17%;3.92%;8.6;8;
gestion des médias sociaux gratuit;4;3;111;77;3.6%;3.9%;7.52;6.62;
how to measure brand reputation;4;6;83;78;4.82%;7.69%;4.71;5.68;
strategy vs goal;4;4;81;63;4.94%;6.35%;3.68;3.79;
goal objective strategy;4;4;79;54;5.06%;7.41%;1.09;1.17;
strategy vs objectives;4;5;79;53;5.06%;9.43%;1.75;1.74;
différence entre profitabilité et rentabilité;4;2;72;46;5.56%;4.35%;6.47;6.09;
r google analytics;4;3;71;46;5.63%;6.52%;9.18;10.11;
goals objectives strategies tactics template;4;5;68;66;5.88%;7.58%;1.06;1;
actionable insights examples;4;2;66;37;6.06%;5.41%;3.62;4.49;
bi google;4;4;61;19;6.56%;21.05%;14.08;21.79;
engagement des parties prenantes;4;1;59;39;6.78%;2.56%;10.8;15.85;
analyse marketing netflix;4;0;55;0;7.27%;0%;8.58;0;
les enjeux du merchandising;4;4;51;42;7.84%;9.52%;2.73;2.9;
jean-françois renaud;4;5;47;36;8.51%;13.89%;1.28;1.75;
difference between strategy and objectives;4;4;45;41;8.89%;9.76%;3.42;4.59;
one pager traduction;4;0;37;0;10.81%;0%;6.16;0;
google analytics data science;4;2;36;21;11.11%;9.52%;5.08;6.1;
content marketing brief template;4;1;35;20;11.43%;5%;5.77;6.2;
format invitation email;4;1;33;21;12.12%;4.76%;3.42;3.14;
chiffres amazon 2019;4;1;30;13;13.33%;7.69%;4.7;6.31;
objectives strategy tactics;4;9;29;26;13.79%;34.62%;1.03;1.19;
optimiser tinder;4;0;29;0;13.79%;0%;4.07;0;
difference between objectives strategies and tactics;4;0;27;0;14.81%;0%;3.11;0;
comment mesurer la notoriété d'une entreprise;4;0;27;0;14.81%;0%;4.52;0;
recherche par facette;4;3;24;20;16.67%;15%;1.96;2.1;
stratégie d'action;4;2;24;23;16.67%;8.7%;4.71;5.74;
organizational culture project management;4;0;23;0;17.39%;0%;5;0;
nombre de clients amazon;4;1;22;19;18.18%;5.26%;5.27;6.32;
examples of actionable insights;4;1;21;17;19.05%;5.88%;4.24;4.82;
chiffre d'affaire box mensuelles;4;2;18;15;22.22%;13.33%;8.72;9.8;
amazon chiffres clés 2019;4;5;16;19;25%;26.32%;4.5;5.89;
mots clés voyage;4;1;16;12;25%;8.33%;4.5;6.17;
difference between objective strategy and tactics;4;0;15;0;26.67%;0%;3.2;0;
marie nicollet;4;0;14;0;28.57%;0%;2.71;0;
que mettre en pied de page;4;2;14;9;28.57%;22.22%;3.07;3.44;
marketing objectives strategies and tactics;4;3;13;13;30.77%;23.08%;1.54;1.85;
is mass marketing dead?;4;0;7;0;57.14%;0%;1;0;
le marketing de masse est-il amené à disparaître;4;3;7;9;57.14%;33.33%;1;1;
customer data platform;3;1;2849;881;0.11%;0.11%;65.71;63.05;
référencement web;3;2;2119;2106;0.14%;0.09%;29.69;27.46;
seo;3;8;2001;2611;0.15%;0.31%;19.77;30.79;
blogue;3;5;673;655;0.45%;0.76%;11.4;10.55;
seo montréal;3;0;426;428;0.7%;0%;7.17;6.56;
recherche vocale;3;1;426;387;0.7%;0.26%;25.4;25.42;
ergonomie web;3;1;294;282;1.02%;0.35%;29.23;21.15;
game changer traduction;3;4;169;156;1.78%;2.56%;8.75;9.19;
data analysis dashboard;3;0;138;158;2.17%;0%;6.48;7.32;
traduction insights;3;2;126;99;2.38%;2.02%;9.06;9.01;
rentabilité et profitabilité;3;3;103;103;2.91%;2.91%;13.44;14.84;
cookie-pocalypse;3;0;86;0;3.49%;0%;8.49;0;
buying keywords on google;3;2;84;78;3.57%;2.56%;5.49;5.6;
achat de mots clés;3;3;80;80;3.75%;3.75%;4.66;4.56;
objective strategy tactic;3;3;78;75;3.85%;4%;2.53;3.39;
atelier collaboratif;3;2;72;82;4.17%;2.44%;13.67;13.41;
turn data into insights;3;0;69;0;4.35%;0%;6.33;0;
objectif stratégique et opérationnel exemple;3;1;69;46;4.35%;2.17%;7.96;11.3;
objective strategy tactics template;3;6;56;37;5.36%;16.22%;1;1;
content strategy brief;3;2;53;41;5.66%;4.88%;3.28;3.9;
campagne média;3;2;53;22;5.66%;9.09%;5.94;7.27;
goal strategy tactic;3;4;48;37;6.25%;10.81%;3.04;3.7;
game changer en francais;3;1;44;20;6.82%;5%;8.61;9.2;
plan tactique;3;2;42;36;7.14%;5.56%;3.5;4.22;
measuring reputation;3;1;42;15;7.14%;6.67%;6.12;5.53;
goal vs objective vs strategy;3;8;41;53;7.32%;15.09%;5.39;5.09;
e-commerce department;3;5;40;49;7.5%;10.2%;3.27;3.67;
différence stratégie tactique opérationnel;3;0;40;0;7.5%;0%;5.42;0;
strategy objective;3;2;39;27;7.69%;7.41%;1.26;1.11;
simon lamarche;3;7;38;27;7.89%;25.93%;1.13;1.15;
goal and strategy;3;1;37;42;8.11%;2.38%;4.03;4.26;
organizational culture in project management;3;1;37;16;8.11%;6.25%;4.89;5.88;
bounce rate google analytics;3;0;34;0;8.82%;0%;3.88;0;
content creation brief;3;2;34;39;8.82%;5.13%;12.79;6.54;
sex ux;3;6;31;47;9.68%;12.77%;1.97;2.32;
facebook target audience language;3;3;31;32;9.68%;9.38%;5.06;5.12;
about our team;3;5;30;27;10%;18.52%;18.47;12.33;
amazon chiffres clés;3;1;29;11;10.34%;9.09%;5.34;6.73;
objectives vs strategy;3;1;28;13;10.71%;7.69%;1.39;1.54;
is lead generation a good job;3;0;28;0;10.71%;0%;6.82;0;
web ergonomics;3;2;27;18;11.11%;11.11%;1.89;1.67;
facebook ads language;3;1;26;22;11.54%;4.55%;6.04;6.32;
goals tactics strategies;3;3;25;20;12%;15%;1.08;1.2;
goals vs objectives vs tactics;3;1;23;6;13.04%;16.67%;3.96;3.67;
nombre de client amazon;3;0;22;0;13.64%;0%;5.41;0;
gestion des parties prenantes d'un projet;3;2;19;16;15.79%;12.5%;3.68;5.19;
indicateur internet;3;1;18;9;16.67%;11.11%;3.06;4.67;
objective versus strategy;3;2;18;17;16.67%;11.76%;4.28;5.06;
digital marketing and sustainability;3;0;16;0;18.75%;0%;6.25;0;
google analytics for data science;3;0;16;0;18.75%;0%;8.12;0;
goal strategy tactic template;3;2;15;23;20%;8.7%;1.2;1.35;
reputation kpis;3;3;15;29;20%;10.34%;1.8;2.45;
différence entre stratégie et objectif;3;3;15;10;20%;30%;2.2;2.1;
apocalypse 2022;3;0;14;0;21.43%;0%;5.93;0;
concept box abonnement;3;2;11;6;27.27%;33.33%;3.45;2.67;
objective vs. strategy in marketing;3;2;10;9;30%;22.22%;4.3;4.78;
strategy objective tactics;3;1;9;15;33.33%;6.67%;2.89;3.87;
what makes a good subscription box;3;0;8;0;37.5%;0%;5.75;0;
netflix monetization;3;0;4;0;75%;0%;1.5;0;
auto123;2;3;5213;4595;0.04%;0.07%;5.8;7;
cdp;2;0;1410;360;0.14%;0%;21.14;31.63;
référencement;2;1;1042;1030;0.19%;0.1%;15.84;19.17;
yahoo answers;2;0;791;669;0.25%;0%;15.88;15.22;
agence seo montreal;2;0;710;666;0.28%;0%;5.69;4.91;
ville.montreal.qc/payerconstat;2;0;420;179;0.48%;0%;9.42;9.72;
sem ad;2;0;389;340;0.51%;0%;2.72;3.47;
strategy objectives;2;0;334;223;0.6%;0%;1.25;1.26;
marketing analytique;2;6;211;224;0.95%;2.68%;6.78;7.75;
data insights examples;2;1;208;101;0.96%;0.99%;6.1;6.58;
parties prenantes;2;0;206;154;0.97%;0%;31.28;37.01;
referencement seo;2;2;176;103;1.14%;1.94%;35.88;32.04;
data to insights;2;1;168;181;1.19%;0.55%;9.93;10.37;
goals and strategies;2;2;165;127;1.21%;1.57%;6.82;7.25;
outreach traduction;2;0;155;263;1.29%;0%;11.03;10.64;
salon connexion;2;0;124;0;1.61%;0%;6.96;0;
google analytics r;2;0;122;0;1.64%;0%;9.67;0;
ecommerce due diligence;2;1;121;142;1.65%;0.7%;3.33;3.81;
le bonheur au travail;2;2;117;118;1.71%;1.69%;30.9;38.75;
jean francois renaud;2;7;100;93;2%;7.53%;1.11;1.83;
reputation measurement;2;1;100;158;2%;0.63%;7.25;8.24;
google bi;2;0;93;0;2.15%;0%;28.13;0;
rich snippet seo;2;2;82;53;2.44%;3.77%;10.9;11;
différence entre rentabilité et profitabilité;2;2;79;75;2.53%;2.67%;5.44;6.07;
métaphore chaussure;2;0;77;0;2.6%;0%;7.62;0;
buy google keywords;2;1;72;56;2.78%;1.79%;7.31;8.11;
google analytics taux de rebond;2;0;68;0;2.94%;0%;6.82;0;
boutons de partage;2;0;62;0;3.23%;0%;1.53;0;
website content brief template;2;0;62;0;3.23%;0%;6.87;0;
stratégique tactique opérationnel;2;1;59;39;3.39%;2.56%;3.2;2.9;
objectif stratégique définition;2;0;56;0;3.57%;0%;10.59;0;
la culture organisationnelle;2;1;56;111;3.57%;0.9%;12.54;13.21;
dmp google;2;0;56;0;3.57%;0%;12.61;0;
notre équipe;2;0;54;0;3.7%;0%;41.33;0;
game changer francais;2;2;49;36;4.08%;5.56%;8.24;7.86;
communication tactique;2;1;49;47;4.08%;2.13%;12.08;9.64;
insight framework;2;0;48;0;4.17%;0%;6.52;0;
goals strategies objectives tactics;2;5;46;34;4.35%;14.71%;1.13;1.29;
expérience utilisateur ux;2;0;46;0;4.35%;0%;19.52;0;
game changer en français;2;1;45;30;4.44%;3.33%;8.67;8.63;
générateur d'idées;2;1;45;33;4.44%;3.03%;56.73;46.64;
objective vs goal vs strategy;2;1;41;26;4.88%;3.85%;5.07;5.15;
strategy goals objectives;2;1;38;40;5.26%;2.5%;1.18;1.07;
data into insights;2;0;38;0;5.26%;0%;5.61;0;
adviso consulting;2;0;38;0;5.26%;0%;9.92;0;
veille médias sociaux gratuit;2;2;37;26;5.41%;7.69%;3.35;6.58;
mesurer la notoriété d'une entreprise;2;2;37;29;5.41%;6.9%;5.46;5.62;
impact de la culture d'entreprise sur la performance de l'organisation;2;0;37;0;5.41%;0%;10.11;0;
goal vs strategy vs tactic;2;7;36;24;5.56%;29.17%;3.67;4.08;
project management culture;2;0;36;0;5.56%;0%;10.22;0;
social media content brief;2;2;35;21;5.71%;9.52%;3.91;3.71;
objectives vs tactics;2;4;34;24;5.88%;16.67%;1.12;1.12;
data science google analytics;2;4;34;15;5.88%;26.67%;5.32;5.87;
mission objectives strategy tactics;2;2;33;32;6.06%;6.25%;2.76;3.62;
is lead generation sales or marketing;2;0;31;0;6.45%;0%;5.94;0;
content writing brief template;2;1;30;27;6.67%;3.7%;8.23;7.56;
sales objectives strategies and tactics;2;0;29;0;6.9%;0%;4.55;0;
goals vs strategy;2;1;29;30;6.9%;3.33%;7.17;7.67;
difference between an objective and a strategy;2;0;27;0;7.41%;0%;3.63;0;
strategy objectives goals tactics;2;0;26;0;7.69%;0%;3.92;0;
jean françois renaud;2;0;25;0;8%;0%;1.2;0;
one-pager;2;1;25;21;8%;4.76%;6.4;6.24;
google snippet;2;2;25;9;8%;22.22%;20.12;1;
strategy vs tactics vs objectives;2;2;24;17;8.33%;11.76%;2.96;3.12;
facebook ads target language;2;1;24;28;8.33%;3.57%;5.17;5.82;
chiffres clés amazon;2;0;24;0;8.33%;0%;6;0;
je deteste les lundi;2;1;23;17;8.7%;5.88%;2.61;2.59;
amazon nombre de clients;2;2;23;16;8.7%;12.5%;5.48;5.75;
goal objectives strategies tactics;2;1;21;9;9.52%;11.11%;1;1;
what makes a good client;2;5;20;19;10%;26.32%;4.05;4.95;
reputation metrics;2;0;20;0;10%;0%;8.45;0;
amazon en quelques chiffres;2;1;19;12;10.53%;8.33%;3.05;3.17;
collecting data from multiple sources;2;0;19;0;10.53%;0%;3.11;0;
différence rentabilité profitabilité;2;3;19;14;10.53%;21.43%;4.05;4.43;
différence rentabilité et profitabilité;2;0;19;0;10.53%;0%;5.47;0;
nombre d'utilisateur amazon;2;1;19;6;10.53%;16.67%;7.21;9;
mot clé voyage;2;1;17;16;11.76%;6.25%;4.94;6.44;
équité de marque;2;0;16;0;12.5%;0%;1.69;0;
salon connexion 2019;2;1;16;18;12.5%;5.56%;3.25;3.5;
ost objective strategy tactics;2;0;16;0;12.5%;0%;4.12;0;
adviso.ca;2;2;14;14;14.29%;14.29%;1;1;
aims objectives strategies and tactics;2;0;13;0;15.38%;0%;3.38;0;
measure reputation;2;1;13;17;15.38%;5.88%;5.31;5.29;
itm parameters;2;1;12;11;16.67%;9.09%;3.5;3.91;
marché des box chiffre d'affaire;2;0;10;0;20%;0%;9.1;0;
powerbi google;2;0;9;0;22.22%;0%;4.11;0;
philosophie de google;2;0;7;0;28.57%;0%;4;0;
objective strategy tactics examples;2;1;6;3;33.33%;33.33%;1;1;
adviso group;2;0;6;0;33.33%;0%;3.83;0;
ssp programmatique;2;0;6;0;33.33%;0%;50.83;0;
cdp web;2;0;4;0;50%;0%;6;0;
all seo company in montreal;2;3;4;10;50%;30%;54.25;52.5;
utm parameters internal links;2;1;3;1;66.67%;100%;2;1;
g suite power bi;2;0;3;0;66.67%;0%;5.67;0;
internal utm tracking;2;0;2;0;100%;0%;1;0;
google.ca;1;3;6674;7026;0.01%;0.04%;9.85;9.64;
mass marketing;1;0;2690;2398;0.04%;0%;12.31;13.49;
dmp;1;2;2315;694;0.04%;0.29%;23.83;23.07;
merchandising;1;0;1579;741;0.06%;0%;14.97;12.34;
strategy and tactics;1;1;1168;1024;0.09%;0.1%;9.52;10.44;
lasik md;1;0;1160;1870;0.09%;0%;16.11;13.87;
montreal seo;1;1;990;1656;0.1%;0.06%;77.75;55.51;
référencement seo;1;1;935;471;0.11%;0.21%;49.7;25.16;
agence seo;1;1;844;856;0.12%;0.12%;11.48;7.49;
brand analytics;1;2;704;704;0.14%;0.28%;24.13;26.04;
referencement web;1;0;574;720;0.17%;0%;28.57;44.52;
rich snippets seo;1;3;549;569;0.18%;0.53%;12.57;13;
facebook blueprint certification;1;0;434;372;0.23%;0%;32.87;35.4;
agence marketing numérique;1;0;413;394;0.24%;0%;22.52;15.95;
seo marketing;1;0;366;274;0.27%;0%;33.25;28.96;
what is mass marketing;1;0;328;270;0.3%;0%;17.66;18.17;
quora;1;0;320;340;0.31%;0%;39.73;31.42;
seo snippet;1;0;319;224;0.31%;0%;60.49;58.35;
calendrier éditorial;1;3;316;196;0.32%;1.53%;12.7;12.59;
canevas plan stratégique pdf;1;0;306;0;0.33%;0%;2.42;0;
tinder match;1;0;288;781;0.35%;0%;12.13;10.55;
flat design;1;1;209;159;0.48%;0.63%;21.63;23.94;
youtube inscription;1;2;207;243;0.48%;0.82%;9.46;9.27;
insight en francais;1;1;203;140;0.49%;0.71%;9.44;9.07;
leads;1;0;197;154;0.51%;0%;24.01;13.14;
lasikmd;1;0;190;456;0.53%;0%;12.67;10.79;
insight en français;1;0;183;0;0.55%;0%;10.06;0;
seo company in montreal;1;1;171;199;0.58%;0.5%;29.53;23.74;
strategy goals;1;0;165;0;0.61%;0%;3.75;0;
stratégie adwords;1;3;164;164;0.61%;1.83%;4.8;4.68;
marketing technology;1;0;154;0;0.65%;0%;58.43;0;
analytics developer;1;1;152;108;0.66%;0.93%;14.89;23.98;
merchandising online;1;0;146;0;0.68%;0%;32.6;0;
analytics plan;1;0;145;136;0.69%;0%;14.77;9.83;
example of a strategy;1;0;142;0;0.7%;0%;3.79;0;
safari app;1;0;141;0;0.71%;0%;6.37;0;
cdp marketing;1;0;139;163;0.72%;0%;70.01;92.95;
agence web montreal;1;0;138;587;0.72%;0%;92.49;91.84;
goal vs strategy;1;4;137;99;0.73%;4.04%;6.05;6.35;
4388 rue saint-denis;1;0;136;0;0.74%;0%;6.62;0;
payerconstat;1;1;130;100;0.77%;1%;6.63;5.88;
dmp agency;1;0;130;0;0.77%;0%;54.87;0;
ville de montreal.qc.ca/payerconstat;1;0;129;0;0.78%;0%;9.31;0;
strategic goals and objectives examples;1;1;123;96;0.81%;1.04%;8.27;6.24;
stratégie marketing internet;1;0;123;0;0.81%;0%;49.09;0;
data analysis with open source tools;1;0;122;0;0.82%;0%;10.67;0;
agence numérique montréal;1;0;121;0;0.83%;0%;7.43;0;
omni digital;1;0;121;0;0.83%;0%;10.1;0;
data analysis dashboards;1;2;115;97;0.87%;2.06%;6.28;8.16;
dmp solutions;1;0;112;0;0.89%;0%;39.38;0;
stratégie contenu;1;0;111;0;0.9%;0%;33.14;0;
traduire insight;1;1;104;84;0.96%;1.19%;7.57;7.45;
strategy vs goals;1;3;103;84;0.97%;3.57%;4.6;4.57;
how to define objectives;1;0;102;0;0.98%;0%;13.49;0;
insights en français;1;1;101;69;0.99%;1.45%;9.21;9.04;
goal strategy;1;3;96;85;1.04%;3.53%;3.32;2.98;
creating a single customer view;1;0;95;0;1.05%;0%;42.54;0;
optimiser adwords;1;0;94;0;1.06%;0%;25.24;0;
concours facebook;1;0;93;0;1.08%;0%;38.72;0;
blueprint facebook certification;1;0;92;0;1.09%;0%;32.63;0;
seo web;1;1;90;71;1.11%;1.41%;24.84;17.25;
objectifs stratégiques;1;1;87;58;1.15%;1.72%;6.45;5.17;
adobe attribution;1;0;87;0;1.15%;0%;8.31;0;
data tv;1;1;87;78;1.15%;1.28%;8.59;8.13;
tactic strategy;1;0;84;0;1.19%;0%;6.36;0;
sem writing;1;0;83;0;1.2%;0%;2.07;0;
google canada search;1;0;83;218;1.2%;0%;10.18;9.92;
différence entre stratégie et tactique;1;0;83;0;1.2%;0%;10.25;0;
format mailing;1;2;79;73;1.27%;2.74%;6.28;6.12;
ville.montréal.qc.ca/payer constat;1;0;77;0;1.3%;0%;9.03;0;
collecting and combining data from multiple sources;1;4;77;46;1.3%;8.7%;9.17;9.8;
content marketing brief;1;2;75;81;1.33%;2.47%;5.13;4.8;
vigie technologique;1;1;75;64;1.33%;1.56%;7.53;8.69;
customer data platform companies;1;0;75;0;1.33%;0%;82.37;0;
chiffre amazon;1;1;74;51;1.35%;1.96%;7.78;8.65;
buy keywords on google;1;1;72;60;1.39%;1.67%;5.99;6.13;
dimension emailing;1;1;71;64;1.41%;1.56%;7.59;8.55;
goals objectives strategies tactics examples;1;4;70;59;1.43%;6.78%;2.13;1.12;
good client;1;1;70;63;1.43%;1.59%;3.99;4.3;
traffic sources;1;0;70;0;1.43%;0%;69.9;0;
strategy and tactics examples;1;0;68;0;1.47%;0%;2.96;0;
exemple de stratégie;1;4;68;60;1.47%;6.67%;5.21;5.57;
seo content brief;1;1;67;61;1.49%;1.64%;6.97;8.05;
objectif stratégie marketing;1;0;67;0;1.49%;0%;13.27;0;
content brief template word;1;0;66;0;1.52%;0%;8.64;0;
data insights;1;0;66;0;1.52%;0%;51.53;0;
marketing seo;1;0;65;0;1.54%;0%;16.66;0;
cheat sheet traduction;1;1;64;57;1.56%;1.75%;8.42;8.46;
les parties prenantes d'un projet;1;0;63;0;1.59%;0%;4.3;0;
turning data into insights;1;3;63;57;1.59%;5.26%;8.37;9.25;
content briefing;1;0;60;0;1.67%;0%;5.33;0;
ia marketing;1;0;59;0;1.69%;0%;34.19;0;
actionable insights from data;1;0;58;0;1.72%;0%;6.5;0;
bouton partager;1;0;57;0;1.75%;0%;3.93;0;
examples of strategies;1;1;56;123;1.79%;0.81%;16.55;10;
strategy and objectives;1;6;55;59;1.82%;10.17%;1.38;1.54;
objective and strategy;1;3;55;37;1.82%;8.11%;1.49;1.49;
qr code marketing;1;1;55;19;1.82%;5.26%;9.8;13.47;
facebook blue print;1;0;55;0;1.82%;0%;51.75;0;
