Query,Last 28 days (2020) Clicks,Last 28 days (2019) Clicks,Last 28 days (2020) Impressions,Last 28 days (2019) Impressions,Last 28 days (2020) CTR,Last 28 days (2019) CTR,Last 28 days (2020) Position,Last 28 days (2019) Position
stratégie tactique opérationnel,6,6,62,60,9.68%,10%,1.74,2.98
goals strategy objectives tactics,6,1,50,18,12%,5.56%,1.08,1.67
website ergonomics,6,5,38,40,15.79%,12.5%,2.34,2.05
goals objectives strategy tactics,6,5,36,26,16.67%,19.23%,1,2.96
mass marketing is dead,6,5,35,29,17.14%,17.24%,1.37,3.14
reputation kpi,6,0,30,0,20%,0%,1.17,0
objectifs tactiques,6,8,26,22,23.08%,36.36%,1.96,1.73
facebook ad language targeting,6,4,18,24,33.33%,16.67%,3.39,2.54
facebook mobile,5,0,784,0,0.64%,0%,10.91,0
martech,5,0,736,0,0.68%,0%,30.6,0
strategies and tactics examples,5,6,266,218,1.88%,2.75%,2.08,4.06
recherche utilisateur,5,10,144,113,3.47%,8.85%,6.01,2.64
voice search 2020,5,0,129,0,3.88%,0%,9.09,0
brief content,5,4,88,61,5.68%,6.56%,3.91,2.77
difference between objectives and strategies,5,5,85,58,5.88%,8.62%,4.4,4.48
ergonomics website,5,4,65,41,7.69%,9.76%,2.02,3.41
e commerce department,5,0,63,0,7.94%,0%,3.32,0
ux sex,5,5,53,45,9.43%,11.11%,1.42,1.6
content brief example,5,2,53,30,9.43%,6.67%,5.74,3.23
objective strategy,5,8,45,50,11.11%,16%,1.13,1.24
amazon en chiffre,5,0,42,0,11.9%,0%,7.29,0
strategy objectives tactics,5,5,41,36,12.2%,13.89%,1,1.08
temps de réponse serveur,5,0,37,169,13.51%,0%,1.27,3.67
objective vs strategy vs tactic,5,0,13,0,38.46%,0%,3.08,0
 - la technologie nuit-elle à la vie privée?,5,0,13,0,38.46%,0%,7.85,0
enjeux du merchandising,5,0,12,0,41.67%,0%,2.75,0
marketing de contenu,4,4,1333,809,0.3%,0.49%,27.63,23.17
ville.montreal.qc.ca/payerconstat,4,0,812,0,0.49%,0%,9.81,0
bounce rate,4,2,352,396,1.14%,0.51%,7.51,8.82
power editor,4,0,343,0,1.17%,0%,7.21,0
inscription youtube,4,2,330,217,1.21%,0.92%,9.15,8.5
google data studio vs power bi,4,6,207,230,1.93%,2.61%,9.93,8.41
culture organisationnelle,4,2,140,182,2.86%,1.1%,13.39,11.18
objectif stratégique,4,4,126,722,3.17%,0.55%,8.6,10.22
gestion des médias sociaux gratuit,4,36,111,208,3.6%,17.31%,7.52,3.31
how to measure brand reputation,4,12,83,60,4.82%,20%,4.71,1.03
strategy vs goal,4,2,81,73,4.94%,2.74%,3.68,7.19
goal objective strategy,4,1,79,86,5.06%,1.16%,1.09,1.73
strategy vs objectives,4,2,79,47,5.06%,4.26%,1.75,3.51
différence entre profitabilité et rentabilité,4,4,72,53,5.56%,7.55%,6.47,4.45
r google analytics,4,0,71,0,5.63%,0%,9.18,0
goals objectives strategies tactics template,4,9,68,114,5.88%,7.89%,1.06,2.7
actionable insights examples,4,0,66,0,6.06%,0%,3.62,0
bi google,4,6,61,16,6.56%,37.5%,14.08,16.06
engagement des parties prenantes,4,0,59,0,6.78%,0%,10.8,0
analyse marketing netflix,4,0,55,0,7.27%,0%,8.58,0
les enjeux du merchandising,4,4,51,16,7.84%,25%,2.73,2.56
jean-françois renaud,4,12,47,62,8.51%,19.35%,1.28,1.02
difference between strategy and objectives,4,6,45,47,8.89%,12.77%,3.42,4.3
one pager traduction,4,1,37,28,10.81%,3.57%,6.16,8.14
google analytics data science,4,0,36,0,11.11%,0%,5.08,0
content marketing brief template,4,3,35,17,11.43%,17.65%,5.77,1.18
format invitation email,4,2,33,25,12.12%,8%,3.42,2.32
chiffres amazon 2019,4,0,30,0,13.33%,0%,4.7,0
objectives strategy tactics,4,5,29,36,13.79%,13.89%,1.03,1.08
optimiser tinder,4,6,29,21,13.79%,28.57%,4.07,1.86
difference between objectives strategies and tactics,4,0,27,0,14.81%,0%,3.11,0
comment mesurer la notoriété d'une entreprise,4,1,27,24,14.81%,4.17%,4.52,4.04
recherche par facette,4,1,24,20,16.67%,5%,1.96,2
stratégie d'action,4,0,24,0,16.67%,0%,4.71,0
organizational culture project management,4,7,23,32,17.39%,21.88%,5,3.69
nombre de clients amazon,4,0,22,0,18.18%,0%,5.27,0
examples of actionable insights,4,0,21,0,19.05%,0%,4.24,0
chiffre d'affaire box mensuelles,4,0,18,0,22.22%,0%,8.72,0
amazon chiffres clés 2019,4,0,16,0,25%,0%,4.5,0
mots clés voyage,4,1,16,16,25%,6.25%,4.5,3.62
difference between objective strategy and tactics,4,0,15,0,26.67%,0%,3.2,0
marie nicollet,4,1,14,16,28.57%,6.25%,2.71,7.75
que mettre en pied de page,4,4,14,8,28.57%,50%,3.07,1.62
marketing objectives strategies and tactics,4,6,13,20,30.77%,30%,1.54,2.3
is mass marketing dead?,4,9,7,34,57.14%,26.47%,1,1.12
le marketing de masse est-il amené à disparaître,4,0,7,0,57.14%,0%,1,0
customer data platform,3,0,2849,0,0.11%,0%,65.71,0
référencement web,3,1,2119,1331,0.14%,0.08%,29.69,21.24
seo,3,0,2001,456,0.15%,0%,19.77,27.19
blogue,3,10,673,799,0.45%,1.25%,11.4,6.3
seo montréal,3,2,426,401,0.7%,0.5%,7.17,6.33
recherche vocale,3,0,426,0,0.7%,0%,25.4,0
ergonomie web,3,0,294,166,1.02%,0%,29.23,37.6
game changer traduction,3,3,169,63,1.78%,4.76%,8.75,10.76
data analysis dashboard,3,2,138,112,2.17%,1.79%,6.48,4.81
traduction insights,3,0,126,0,2.38%,0%,9.06,0
rentabilité et profitabilité,3,4,103,75,2.91%,5.33%,13.44,4.15
cookie-pocalypse,3,0,86,0,3.49%,0%,8.49,0
buying keywords on google,3,2,84,72,3.57%,2.78%,5.49,5.06
achat de mots clés,3,1,80,93,3.75%,1.08%,4.66,7.43
objective strategy tactic,3,5,78,72,3.85%,6.94%,2.53,1
atelier collaboratif,3,1,72,110,4.17%,0.91%,13.67,10.25
turn data into insights,3,0,69,0,4.35%,0%,6.33,0
objectif stratégique et opérationnel exemple,3,6,69,101,4.35%,5.94%,7.96,9.71
objective strategy tactics template,3,9,56,31,5.36%,29.03%,1,1
content strategy brief,3,7,53,20,5.66%,35%,3.28,1.95
campagne média,3,0,53,0,5.66%,0%,5.94,0
goal strategy tactic,3,9,48,63,6.25%,14.29%,3.04,1.33
game changer en francais,3,1,44,10,6.82%,10%,8.61,10.1
plan tactique,3,10,42,45,7.14%,22.22%,3.5,2.47
measuring reputation,3,4,42,57,7.14%,7.02%,6.12,2.4
goal vs objective vs strategy,3,0,41,0,7.32%,0%,5.39,0
e-commerce department,3,2,40,43,7.5%,4.65%,3.27,5.28
différence stratégie tactique opérationnel,3,0,40,0,7.5%,0%,5.42,0
strategy objective,3,4,39,40,7.69%,10%,1.26,1.02
simon lamarche,3,3,38,36,7.89%,8.33%,1.13,1.08
goal and strategy,3,0,37,0,8.11%,0%,4.03,0
organizational culture in project management,3,7,37,28,8.11%,25%,4.89,3.75
bounce rate google analytics,3,0,34,0,8.82%,0%,3.88,0
content creation brief,3,0,34,0,8.82%,0%,12.79,0
sex ux,3,6,31,38,9.68%,15.79%,1.97,3.79
facebook target audience language,3,0,31,0,9.68%,0%,5.06,0
about our team,3,13,30,144,10%,9.03%,18.47,6.55
amazon chiffres clés,3,0,29,0,10.34%,0%,5.34,0
objectives vs strategy,3,5,28,23,10.71%,21.74%,1.39,3
is lead generation a good job,3,0,28,0,10.71%,0%,6.82,0
web ergonomics,3,1,27,27,11.11%,3.7%,1.89,1.78
facebook ads language,3,3,26,37,11.54%,8.11%,6.04,4.49
goals tactics strategies,3,2,25,20,12%,10%,1.08,3.75
goals vs objectives vs tactics,3,0,23,0,13.04%,0%,3.96,0
nombre de client amazon,3,0,22,0,13.64%,0%,5.41,0
gestion des parties prenantes d'un projet,3,0,19,0,15.79%,0%,3.68,0
indicateur internet,3,0,18,0,16.67%,0%,3.06,0
objective versus strategy,3,5,18,16,16.67%,31.25%,4.28,3
digital marketing and sustainability,3,0,16,0,18.75%,0%,6.25,0
google analytics for data science,3,0,16,0,18.75%,0%,8.12,0
goal strategy tactic template,3,0,15,0,20%,0%,1.2,0
reputation kpis,3,0,15,0,20%,0%,1.8,0
différence entre stratégie et objectif,3,3,15,13,20%,23.08%,2.2,2.92
apocalypse 2022,3,0,14,0,21.43%,0%,5.93,0
concept box abonnement,3,0,11,0,27.27%,0%,3.45,0
objective vs. strategy in marketing,3,2,10,25,30%,8%,4.3,5.84
strategy objective tactics,3,0,9,0,33.33%,0%,2.89,0
what makes a good subscription box,3,0,8,0,37.5%,0%,5.75,0
netflix monetization,3,0,4,0,75%,0%,1.5,0
auto123,2,12,5213,5596,0.04%,0.21%,5.8,4.72
cdp,2,0,1410,0,0.14%,0%,21.14,0
référencement,2,0,1042,1535,0.19%,0%,15.84,37.07
yahoo answers,2,0,791,0,0.25%,0%,15.88,0
agence seo montreal,2,2,710,699,0.28%,0.29%,5.69,8.83
ville.montreal.qc/payerconstat,2,0,420,0,0.48%,0%,9.42,0
sem ad,2,5,389,202,0.51%,2.48%,2.72,2.61
strategy objectives,2,3,334,178,0.6%,1.69%,1.25,1.2
marketing analytique,2,8,211,148,0.95%,5.41%,6.78,7.41
data insights examples,2,0,208,0,0.96%,0%,6.1,0
parties prenantes,2,0,206,0,0.97%,0%,31.28,0
referencement seo,2,0,176,0,1.14%,0%,35.88,0
data to insights,2,0,168,0,1.19%,0%,9.93,0
goals and strategies,2,6,165,194,1.21%,3.09%,6.82,6.7
outreach traduction,2,1,155,360,1.29%,0.28%,11.03,9.77
salon connexion,2,0,124,0,1.61%,0%,6.96,0
google analytics r,2,0,122,0,1.64%,0%,9.67,0
ecommerce due diligence,2,2,121,67,1.65%,2.99%,3.33,2.94
le bonheur au travail,2,0,117,0,1.71%,0%,30.9,0
jean francois renaud,2,8,100,95,2%,8.42%,1.11,1.23
reputation measurement,2,1,100,153,2%,0.65%,7.25,5.16
google bi,2,0,93,0,2.15%,0%,28.13,0
rich snippet seo,2,5,82,38,2.44%,13.16%,10.9,7.26
différence entre rentabilité et profitabilité,2,4,79,52,2.53%,7.69%,5.44,4.04
métaphore chaussure,2,0,77,0,2.6%,0%,7.62,0
buy google keywords,2,0,72,0,2.78%,0%,7.31,0
google analytics taux de rebond,2,0,68,0,2.94%,0%,6.82,0
boutons de partage,2,1,62,51,3.23%,1.96%,1.53,2.02
website content brief template,2,8,62,50,3.23%,16%,6.87,2.02
stratégique tactique opérationnel,2,2,59,42,3.39%,4.76%,3.2,8.88
objectif stratégique définition,2,0,56,0,3.57%,0%,10.59,0
la culture organisationnelle,2,0,56,0,3.57%,0%,12.54,0
dmp google,2,4,56,77,3.57%,5.19%,12.61,14.3
notre équipe,2,20,54,328,3.7%,6.1%,41.33,7.91
game changer francais,2,2,49,10,4.08%,20%,8.24,9
communication tactique,2,0,49,0,4.08%,0%,12.08,0
insight framework,2,0,48,0,4.17%,0%,6.52,0
goals strategies objectives tactics,2,4,46,77,4.35%,5.19%,1.13,3.39
expérience utilisateur ux,2,0,46,0,4.35%,0%,19.52,0
game changer en français,2,0,45,0,4.44%,0%,8.67,0
générateur d'idées,2,0,45,0,4.44%,0%,56.73,0
objective vs goal vs strategy,2,1,41,29,4.88%,3.45%,5.07,5.21
strategy goals objectives,2,3,38,42,5.26%,7.14%,1.18,2.12
data into insights,2,0,38,0,5.26%,0%,5.61,0
adviso consulting,2,0,38,0,5.26%,0%,9.92,0
veille médias sociaux gratuit,2,13,37,35,5.41%,37.14%,3.35,1.77
mesurer la notoriété d'une entreprise,2,5,37,29,5.41%,17.24%,5.46,4.52
impact de la culture d'entreprise sur la performance de l'organisation,2,3,37,49,5.41%,6.12%,10.11,8.84
goal vs strategy vs tactic,2,0,36,0,5.56%,0%,3.67,0
project management culture,2,1,36,21,5.56%,4.76%,10.22,12.38
social media content brief,2,5,35,20,5.71%,25%,3.91,1.85
objectives vs tactics,2,2,34,32,5.88%,6.25%,1.12,4.06
data science google analytics,2,0,34,0,5.88%,0%,5.32,0
mission objectives strategy tactics,2,1,33,42,6.06%,2.38%,2.76,5.67
is lead generation sales or marketing,2,0,31,0,6.45%,0%,5.94,0
content writing brief template,2,0,30,0,6.67%,0%,8.23,0
sales objectives strategies and tactics,2,0,29,0,6.9%,0%,4.55,0
goals vs strategy,2,0,29,0,6.9%,0%,7.17,0
difference between an objective and a strategy,2,3,27,22,7.41%,13.64%,3.63,4.68
strategy objectives goals tactics,2,0,26,0,7.69%,0%,3.92,0
jean françois renaud,2,1,25,29,8%,3.45%,1.2,1.03
one-pager,2,3,25,42,8%,7.14%,6.4,7.1
google snippet,2,0,25,0,8%,0%,20.12,0
strategy vs tactics vs objectives,2,2,24,21,8.33%,9.52%,2.96,3.95
facebook ads target language,2,0,24,0,8.33%,0%,5.17,0
chiffres clés amazon,2,0,24,0,8.33%,0%,6,0
je deteste les lundi,2,0,23,0,8.7%,0%,2.61,0
amazon nombre de clients,2,0,23,0,8.7%,0%,5.48,0
goal objectives strategies tactics,2,2,21,18,9.52%,11.11%,1,5.11
what makes a good client,2,3,20,26,10%,11.54%,4.05,2.85
reputation metrics,2,2,20,30,10%,6.67%,8.45,6.2
amazon en quelques chiffres,2,0,19,0,10.53%,0%,3.05,0
collecting data from multiple sources,2,0,19,0,10.53%,0%,3.11,0
différence rentabilité profitabilité,2,4,19,29,10.53%,13.79%,4.05,4.03
différence rentabilité et profitabilité,2,2,19,9,10.53%,22.22%,5.47,4.22
nombre d'utilisateur amazon,2,0,19,0,10.53%,0%,7.21,0
mot clé voyage,2,0,17,0,11.76%,0%,4.94,0
équité de marque,2,0,16,0,12.5%,0%,1.69,0
salon connexion 2019,2,0,16,0,12.5%,0%,3.25,0
ost objective strategy tactics,2,4,16,14,12.5%,28.57%,4.12,2
adviso.ca,2,6,14,15,14.29%,40%,1,1
aims objectives strategies and tactics,2,0,13,0,15.38%,0%,3.38,0
measure reputation,2,1,13,8,15.38%,12.5%,5.31,2.25
itm parameters,2,0,12,0,16.67%,0%,3.5,0
marché des box chiffre d'affaire,2,0,10,0,20%,0%,9.1,0
powerbi google,2,0,9,0,22.22%,0%,4.11,0
philosophie de google,2,0,7,0,28.57%,0%,4,0
objective strategy tactics examples,2,0,6,0,33.33%,0%,1,0
adviso group,2,2,6,11,33.33%,18.18%,3.83,4.45
ssp programmatique,2,0,6,0,33.33%,0%,50.83,0
cdp web,2,0,4,0,50%,0%,6,0
all seo company in montreal,2,0,4,0,50%,0%,54.25,0
utm parameters internal links,2,0,3,0,66.67%,0%,2,0
g suite power bi,2,0,3,0,66.67%,0%,5.67,0
internal utm tracking,2,0,2,0,100%,0%,1,0
google.ca,1,0,6674,0,0.01%,0%,9.85,0
mass marketing,1,1,2690,5901,0.04%,0.02%,12.31,10.89
dmp,1,0,2315,372,0.04%,0%,23.83,59.71
merchandising,1,0,1579,0,0.06%,0%,14.97,0
strategy and tactics,1,6,1168,872,0.09%,0.69%,9.52,2.77
lasik md,1,1,1160,484,0.09%,0.21%,16.11,24.13
montreal seo,1,0,990,197,0.1%,0%,77.75,16.27
référencement seo,1,0,935,520,0.11%,0%,49.7,60.07
agence seo,1,1,844,1852,0.12%,0.05%,11.48,56.48
brand analytics,1,22,704,987,0.14%,2.23%,24.13,4.11
referencement web,1,0,574,1061,0.17%,0%,28.57,22.82
rich snippets seo,1,2,549,299,0.18%,0.67%,12.57,10.44
facebook blueprint certification,1,0,434,236,0.23%,0%,32.87,34.36
agence marketing numérique,1,0,413,168,0.24%,0%,22.52,76.64
seo marketing,1,0,366,0,0.27%,0%,33.25,0
what is mass marketing,1,0,328,991,0.3%,0%,17.66,9.31
quora,1,0,320,0,0.31%,0%,39.73,0
seo snippet,1,1,319,51,0.31%,1.96%,60.49,45.76
calendrier éditorial,1,0,316,0,0.32%,0%,12.7,0
canevas plan stratégique pdf,1,0,306,0,0.33%,0%,2.42,0
tinder match,1,0,288,0,0.35%,0%,12.13,0
flat design,1,0,209,0,0.48%,0%,21.63,0
youtube inscription,1,2,207,225,0.48%,0.89%,9.46,8.34
insight en francais,1,0,203,0,0.49%,0%,9.44,0
leads,1,0,197,0,0.51%,0%,24.01,0
lasikmd,1,0,190,0,0.53%,0%,12.67,0
insight en français,1,0,183,0,0.55%,0%,10.06,0
seo company in montreal,1,3,171,57,0.58%,5.26%,29.53,84.68
strategy goals,1,1,165,116,0.61%,0.86%,3.75,1.68
stratégie adwords,1,10,164,120,0.61%,8.33%,4.8,1.07
marketing technology,1,0,154,0,0.65%,0%,58.43,0
analytics developer,1,0,152,0,0.66%,0%,14.89,0
merchandising online,1,0,146,0,0.68%,0%,32.6,0
analytics plan,1,0,145,0,0.69%,0%,14.77,0
example of a strategy,1,0,142,0,0.7%,0%,3.79,0
safari app,1,0,141,0,0.71%,0%,6.37,0
cdp marketing,1,0,139,0,0.72%,0%,70.01,0
agence web montreal,1,0,138,0,0.72%,0%,92.49,0
goal vs strategy,1,1,137,125,0.73%,0.8%,6.05,6.12
4388 rue saint-denis,1,0,136,0,0.74%,0%,6.62,0
payerconstat,1,2,130,28,0.77%,7.14%,6.63,5.18
dmp agency,1,0,130,0,0.77%,0%,54.87,0
ville de montreal.qc.ca/payerconstat,1,0,129,0,0.78%,0%,9.31,0
strategic goals and objectives examples,1,0,123,344,0.81%,0%,8.27,6.06
stratégie marketing internet,1,0,123,0,0.81%,0%,49.09,0
data analysis with open source tools,1,1,122,142,0.82%,0.7%,10.67,8.11
agence numérique montréal,1,1,121,77,0.83%,1.3%,7.43,51.01
omni digital,1,0,121,159,0.83%,0%,10.1,7.96
data analysis dashboards,1,0,115,0,0.87%,0%,6.28,0
dmp solutions,1,0,112,0,0.89%,0%,39.38,0
stratégie contenu,1,0,111,0,0.9%,0%,33.14,0
traduire insight,1,0,104,0,0.96%,0%,7.57,0
strategy vs goals,1,4,103,91,0.97%,4.4%,4.6,6.98
how to define objectives,1,0,102,0,0.98%,0%,13.49,0
insights en français,1,0,101,0,0.99%,0%,9.21,0
goal strategy,1,3,96,80,1.04%,3.75%,3.32,2.58
creating a single customer view,1,0,95,0,1.05%,0%,42.54,0
optimiser adwords,1,0,94,0,1.06%,0%,25.24,0
concours facebook,1,0,93,160,1.08%,0%,38.72,34.81
blueprint facebook certification,1,0,92,0,1.09%,0%,32.63,0
seo web,1,0,90,141,1.11%,0%,24.84,42.88
objectifs stratégiques,1,0,87,0,1.15%,0%,6.45,0
adobe attribution,1,0,87,0,1.15%,0%,8.31,0
data tv,1,1,87,44,1.15%,2.27%,8.59,8.02
tactic strategy,1,0,84,0,1.19%,0%,6.36,0
sem writing,1,2,83,17,1.2%,11.76%,2.07,2
google canada search,1,0,83,0,1.2%,0%,10.18,0
différence entre stratégie et tactique,1,0,83,0,1.2%,0%,10.25,0
format mailing,1,7,79,92,1.27%,7.61%,6.28,3.67
ville.montréal.qc.ca/payer constat,1,0,77,0,1.3%,0%,9.03,0
collecting and combining data from multiple sources,1,0,77,0,1.3%,0%,9.17,0
content marketing brief,1,6,75,136,1.33%,4.41%,5.13,1.96
vigie technologique,1,0,75,0,1.33%,0%,7.53,0
customer data platform companies,1,0,75,0,1.33%,0%,82.37,0
chiffre amazon,1,0,74,0,1.35%,0%,7.78,0
buy keywords on google,1,1,72,56,1.39%,1.79%,5.99,5.18
dimension emailing,1,0,71,0,1.41%,0%,7.59,0
goals objectives strategies tactics examples,1,1,70,61,1.43%,1.64%,2.13,2.33
good client,1,2,70,83,1.43%,2.41%,3.99,4.04
traffic sources,1,0,70,0,1.43%,0%,69.9,0
strategy and tactics examples,1,1,68,40,1.47%,2.5%,2.96,6.22
exemple de stratégie,1,9,68,64,1.47%,14.06%,5.21,3.39
seo content brief,1,5,67,15,1.49%,33.33%,6.97,1.4
objectif stratégie marketing,1,0,67,0,1.49%,0%,13.27,0
content brief template word,1,0,66,0,1.52%,0%,8.64,0
data insights,1,0,66,0,1.52%,0%,51.53,0
marketing seo,1,0,65,0,1.54%,0%,16.66,0
cheat sheet traduction,1,1,64,64,1.56%,1.56%,8.42,7.5
les parties prenantes d'un projet,1,0,63,0,1.59%,0%,4.3,0
turning data into insights,1,0,63,0,1.59%,0%,8.37,0
content briefing,1,1,60,59,1.67%,1.69%,5.33,10.59
ia marketing,1,0,59,0,1.69%,0%,34.19,0
actionable insights from data,1,0,58,0,1.72%,0%,6.5,0
bouton partager,1,0,57,0,1.75%,0%,3.93,0
examples of strategies,1,1,56,27,1.79%,3.7%,16.55,20.81
strategy and objectives,1,2,55,37,1.82%,5.41%,1.38,1.54
objective and strategy,1,8,55,43,1.82%,18.6%,1.49,1.53
qr code marketing,1,0,55,0,1.82%,0%,9.8,0
facebook blue print,1,0,55,0,1.82%,0%,51.75,0
stack marketing,1,0,53,0,1.89%,0%,3.43,0
tactical objectives examples,1,0,50,0,2%,0%,1.48,0
power bi vs google data studio,1,1,50,161,2%,0.62%,10.34,8.04
sem ads examples,1,1,49,23,2.04%,4.35%,6.9,8.3
last click attribution is dead,1,3,48,15,2.08%,20%,4.48,1.2
certification blueprint,1,1,48,28,2.08%,3.57%,5.85,7.57
data from different sources,1,0,48,0,2.08%,0%,6.23,0
data driven en francais,1,0,48,0,2.08%,0%,6.62,0
programmatique définition,1,1,48,60,2.08%,1.67%,10.73,9.88
what is google.ca,1,0,47,0,2.13%,0%,6.4,0
key user traduction,1,0,47,0,2.13%,0%,9.72,0
certification facebook blueprint,1,0,47,0,2.13%,0%,14.57,0
natures touch,1,1,47,13,2.13%,7.69%,26.89,33.85
bon client,1,3,46,85,2.17%,3.53%,3.87,3.47
richsnippets,1,7,46,46,2.17%,15.22%,15.13,17.63
social media content brief template,1,0,45,0,2.22%,0%,4.62,0
qualité gestion de projet,1,0,45,0,2.22%,0%,12.6,0
profitabilité et rentabilité exemple,1,0,44,0,2.27%,0%,9.02,0
largeur newsletter,1,0,44,0,2.27%,0%,9.64,0
business case,1,0,44,0,2.27%,0%,78.02,0
